"Neighborhood","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X2ndFlrSF","LowQualFinSF","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","YrSold","SaleType","SaleCondition","SalePrice","PercOfWhiteCollar","MedianIncome","CollegeDegree","Remod","Age","isnew","TotalSqFeet","TotBathrooms","TotalPorchSF"
"Somerst","2-STORY+","FV",66,7399,"Pave","Pave",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",7,5,1997,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1600,2,"PConc",4,3,1,4,649,1,0,326,"GasA",4,1,"SBrkr",975,0,3,1,3,7,1,3,"Detchd",2,2,3,3,2,0,10,0,0,198,0,0,"None","None",0,2007,"WD","Normal",239000,0.75,95487,0.75,1,9,0,2925,2.5,208
"NWAmes","2-STORY+","RL",90,11700,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",6,6,1968,"Mansard","CompShg","HdBoard","AsphShn","BrkFace",365,2,"CBlock",3,3,1,5,384,3,175,143,"GasA",3,1,"SBrkr",702,0,3,1,2,7,1,4,"Attchd",1,2,3,3,2,224,0,0,0,0,0,0,"None","None",0,2007,"WD","Normal",175000,0.89,87636,0.86,0,39,0,2445,2.5,0
"Crawfor","1-STORY 1946+","RL",80,14000,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",6,8,1950,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",3,3,1,1,0,1,0,1092,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",1,1,3,3,2,0,36,0,0,0,0,0,"GdPrv","None",0,2009,"WD","Family",158500,0.85,86452,0.84,1,5,0,2244,1.5,36
"Crawfor","190","RL",90,15750,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","2fmCon","1Story",5,5,1953,"Hip","CompShg","MetalSd","MetalSd","BrkFace",56,2,"CBlock",3,3,2,4,841,1,0,324,"GasA",2,1,"SBrkr",0,0,2,1,2,7,2,4,"Attchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,2006,"WD","Normal",157000,0.85,86452,0.84,0,53,0,2501,2,0
"CollgCr","2-STORY+","RL",66,16226,"Pave","None",0,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",8,5,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,1,6,281,1,0,747,"GasA",4,1,"SBrkr",1242,0,4,1,3,7,1,3,"BuiltIn",3,2,3,3,2,208,50,0,0,0,0,0,"None","None",0,2007,"WD","Normal",267000,0.91,39359,0.91,1,8,0,3480,2.5,50
"CollgCr","1-STORY 1946+","RL",118,13704,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",7,5,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",150,2,"PConc",4,3,1,1,0,1,0,1541,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,3,"Attchd",2,3,3,3,2,468,81,0,0,0,0,0,"None","None",0,2006,"WD","Normal",205000,0.91,39359,0.91,1,4,0,3082,2,81
"CollgCr","1-STORY 1946+","RL",70,9800,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",5,7,1972,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",3,3,1,5,894,1,0,0,"GasA",2,1,"SBrkr",0,0,3,1,2,7,0,0,"Attchd",1,2,3,3,2,256,0,0,0,0,0,0,"GdWo","None",0,2006,"WD","Abnorml",149900,0.91,39359,0.91,0,34,0,1788,2,0
"OldTown","75","RM",87,18386,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2.5Fin",7,9,1880,"Gable","CompShg","CemntBd","CmentBd","None",0,2,"BrkTil",3,3,1,1,0,1,0,1470,"GasA",4,1,"SBrkr",1818,0,3,1,3,7,1,5,"Attchd",1,3,3,3,2,302,0,0,0,0,0,0,"None","None",0,2008,"WD","Normal",295000,0.84,41223,0.85,1,6,0,4963,3,0
"CollgCr","1-STORY 1946+","RL",80,10386,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",8,5,2004,"Gable","CompShg","CemntBd","CmentBd","Stone",246,2,"PConc",4,3,1,6,1464,1,0,536,"GasA",4,1,"SBrkr",0,0,3,1,3,7,0,0,"Attchd",3,3,3,3,2,168,0,0,0,0,0,0,"None","None",0,2007,"WD","Normal",305900,0.91,39359,0.91,1,2,0,4000,3,0
"SawyerW","2-STORY+","RL",116,13474,"Pave","None",2,"Lvl","Inside",2,"Feedr","Norm","1Fam","2Story",7,5,1990,"Gable","CompShg","HdBoard","Plywood","BrkFace",246,2,"CBlock",4,3,1,5,700,1,0,0,"GasA",3,1,"SBrkr",1121,0,4,1,3,7,1,3,"Attchd",2,3,3,3,2,127,44,224,0,0,0,0,"None","None",0,2007,"WD","Normal",225000,0.64,68542,0.73,1,16,0,2943,3.5,268
"IDOTRR","1/2 STORY Fin","RM",60,7920,"Pave","Grvl",2,"Lvl","Inside",2,"Artery","Norm","1Fam","1.5Fin",6,7,1920,"Gable","CompShg","MetalSd","MetalSd","None",0,1,"CBlock",3,3,1,1,0,1,0,319,"GasA",2,1,"FuseA",371,0,3,1,1,7,0,0,"None",0,0,0,0,0,0,144,0,0,0,0,0,"MnPrv","None",0,2008,"WD","Normal",89500,0.62,39678,0.68,1,58,0,1725,1,144
"Edwards","1-STORY 1945-","RL",64,12342,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",4,5,1940,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"CBlock",3,3,1,4,262,1,0,599,"GasA",4,1,"SBrkr",0,0,1,1,2,7,0,0,"Detchd",1,2,3,3,2,158,0,0,0,0,0,0,"None","None",0,2009,"WD","Normal",82500,0.61,46530,0.63,1,59,0,1722,1,0
"NridgHt","1-STORY 1946+","RL",90,12378,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",9,5,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",5,3,4,6,1274,1,0,622,"GasA",4,1,"SBrkr",0,0,3,1,4,7,3,5,"Attchd",3,3,3,3,2,208,175,0,0,0,0,0,"None","None",0,2006,"WD","Normal",360000,0.75,105583,0.89,1,2,0,3840,3,175
"Gilbert","2-STORY+","RL",65,7685,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",6,5,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",112,2,"PConc",4,3,1,5,518,1,0,179,"GasA",3,1,"SBrkr",804,0,3,1,3,7,1,3,"Attchd",3,2,3,3,2,190,63,0,0,0,0,0,"None","None",0,2006,"WD","Normal",165600,0.55,82976,0.75,1,12,0,2198,2.5,63
"NAmes","1-STORY 1946+","RL",50,8000,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",6,6,1948,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",3,3,1,5,680,1,0,292,"GasA",4,1,"SBrkr",0,0,2,1,2,7,1,4,"Detchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,2009,"WD","Normal",132000,0.75,47499,0.75,1,7,0,1944,2,0
"OldTown","190","RM",65,7800,"Pave","None",2,"Lvl","Inside",2,"Artery","Norm","2fmCon","1.5Fin",5,7,1939,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"CBlock",4,3,2,3,507,1,0,286,"GasA",2,1,"SBrkr",325,0,3,1,2,7,1,4,"Detchd",1,2,3,3,2,0,0,0,0,271,0,0,"MnPrv","None",0,2006,"WD","Normal",119900,0.84,41223,0.85,1,56,0,1911,2,271
"Timber","1-STORY 1946+","RL",150,215245,"Pave","None",0,"Low","Inside",0,"Norm","Norm","1Fam","1Story",7,5,1965,"Hip","CompShg","BrkFace","BrkFace","None",0,2,"CBlock",4,3,4,5,1236,3,820,80,"GasW",2,1,"SBrkr",0,0,3,1,2,7,2,4,"Attchd",2,2,3,3,2,0,0,0,0,0,0,0,"None","None",0,2009,"WD","Normal",375000,0.71,85268,0.85,0,44,0,4172,4,0
"OldTown","2-STORY 1945-","RM",60,9600,"Pave","Grvl",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",7,7,1925,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"BrkTil",3,4,1,2,16,1,0,712,"GasA",4,1,"SBrkr",809,0,3,1,4,7,1,4,"Detchd",1,2,2,3,2,0,0,234,0,0,0,0,"None","None",0,2006,"WD","Normal",178000,0.84,41223,0.85,1,16,0,2369,2,234
"Gilbert","2-STORY+","RL",71,7795,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",7,5,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,1,6,425,1,0,291,"GasA",4,1,"SBrkr",716,0,3,1,3,7,1,4,"Attchd",3,2,3,3,2,100,51,0,0,0,0,0,"None","None",0,2009,"WD","Normal",188500,0.55,82976,0.75,1,4,0,2148,3.5,51
"NWAmes","2-STORY+","RL",94,13005,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","2Story",7,7,1980,"Gable","CompShg","CemntBd","CmentBd","BrkFace",278,2,"CBlock",4,3,1,6,692,1,0,153,"GasA",2,1,"SBrkr",1200,0,4,1,4,7,1,3,"Attchd",2,2,3,3,2,288,195,0,0,0,0,0,"GdPrv","None",0,2009,"WD","Normal",260000,0.89,87636,0.86,0,29,0,3198,3.5,195
"Somerst","2-STORY+","FV",75,9000,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",8,5,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,3,1,0,1,0,1088,"GasA",4,1,"SBrkr",871,0,3,1,3,7,1,4,"Attchd",2,3,3,3,2,208,46,0,0,0,0,0,"None","None",0,2007,"WD","Normal",270000,0.75,95487,0.75,0,1,0,3047,2.5,46
"NoRidge","2-STORY+","RL",90,9900,"Pave","None",2,"Low","Inside",1,"Norm","Norm","1Fam","2Story",7,5,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",256,2,"PConc",4,3,4,6,987,1,0,360,"GasA",4,1,"SBrkr",1274,0,4,1,3,7,1,3,"Attchd",2,3,3,3,2,340,60,144,0,0,0,0,"None","None",0,2009,"WD","Normal",260000,0.85,121583,0.89,0,16,0,3993,3.5,204
"NWAmes","SPLIT OR MULTI-LEVEL","RL",80,14115,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","SLvl",7,5,1980,"Gable","CompShg","Plywood","Plywood","BrkFace",225,2,"CBlock",4,3,3,6,1036,1,0,336,"GasA",2,1,"SBrkr",0,0,3,1,2,7,2,3,"Attchd",1,2,3,3,2,233,48,0,0,0,0,0,"None","None",0,2009,"WD","Normal",187500,0.89,87636,0.86,0,29,0,2844,3,48
"NridgHt","2-STORY+","RL",111,16259,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","2Story",9,5,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",370,2,"PConc",5,4,3,1,0,1,0,1249,"GasA",4,1,"SBrkr",1347,0,4,1,3,7,0,0,"Attchd",2,3,3,3,2,240,154,0,0,0,0,0,"None","None",0,2006,"New","Partial",342643,0.75,105583,0.89,0,0,1,3845,3.5,154
"NridgHt","2-STORY+","RL",99,12099,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",8,5,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",388,2,"PConc",5,3,3,6,970,1,0,166,"GasA",4,1,"SBrkr",1332,0,4,1,3,7,1,4,"BuiltIn",3,3,3,3,2,184,154,0,0,0,0,0,"None","None",0,2007,"WD","Normal",354000,0.75,105583,0.89,0,3,0,3604,3.5,154
"SawyerW","2-STORY+","RL",86,10380,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",7,5,1986,"Gable","CompShg","Plywood","Plywood","BrkFace",172,2,"CBlock",3,3,4,2,28,5,1474,0,"GasA",4,1,"SBrkr",1177,0,4,1,3,7,1,3,"Attchd",3,2,3,3,2,201,96,0,0,0,0,0,"MnPrv","None",0,2007,"WD","Normal",301000,0.64,68542,0.73,1,20,0,4232,3.5,96
"OldTown","1-STORY 1946+","RM",49,5820,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",3,8,1955,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",3,3,1,5,256,1,0,906,"GasA",4,1,"SBrkr",0,0,3,1,2,7,0,0,"Attchd",1,1,2,3,2,142,98,0,0,0,0,0,"None","None",0,2006,"WD","Normal",126175,0.84,41223,0.85,1,1,0,2325,2,98
"NAmes","SPLIT OR MULTI-LEVEL","RL",96,11275,"Pave","None",2,"Lvl","Corner",2,"PosN","Norm","1Fam","SLvl",7,7,1967,"Mansard","WdShake","Wd Sdng","Wd Sdng","BrkFace",300,3,"CBlock",4,3,1,1,0,1,0,710,"GasA",4,1,"SBrkr",1080,0,5,1,3,7,1,4,"BuiltIn",3,2,3,3,2,240,0,0,0,0,0,0,"None","None",0,2010,"WD","Normal",242000,0.75,47499,0.75,1,3,0,3688,2.5,0
"IDOTRR","1/2 STORY Unf Attic","RM",50,5000,"Pave","None",2,"Lvl","Inside",2,"RRAe","Norm","1Fam","1.5Unf",5,6,1941,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"CBlock",3,3,3,4,116,1,0,604,"GasA",0,0,"FuseF",0,0,2,1,2,7,0,0,"Detchd",1,2,3,3,2,0,0,244,0,0,0,0,"None","None",0,2007,"WD","Normal",87000,0.62,39678,0.68,1,57,0,1523,1,244
"Veenker","1-STORY PUD 1946+","RL",32,10846,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","TwnhsE","1Story",8,5,1993,"Gable","CompShg","BrkFace","BrkFace","None",0,2,"PConc",4,3,4,6,1619,1,0,100,"GasA",4,1,"SBrkr",0,0,1,1,3,7,2,4,"Attchd",3,2,3,3,2,122,30,0,0,0,0,0,"None","None",0,2008,"Con","Normal",324000,0.75,85268,0.81,0,15,0,3438,3.5,30
"NAmes","1-STORY 1946+","RL",80,11600,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",6,5,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",175,2,"CBlock",3,3,1,3,565,1,0,818,"GasA",2,1,"SBrkr",0,0,3,1,2,7,0,0,"Attchd",2,1,3,3,2,0,45,0,0,0,0,0,"None","None",0,2006,"WD","Normal",145250,0.75,47499,0.75,0,46,0,2766,1.5,45
"BrkSide","75","RL",52,11888,"Pave","Pave",2,"Bnk","Inside",2,"PosN","Norm","1Fam","2.5Unf",6,6,1916,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,2,"BrkTil",3,3,1,1,0,1,0,844,"GasA",3,0,"FuseA",689,0,5,1,3,7,0,0,"Detchd",1,2,3,3,2,0,60,268,0,0,0,0,"None","None",0,2009,"WD","Normal",214500,0.74,46530,0.72,1,15,0,2978,2,328
"IDOTRR","2-STORY 1945-","RM",60,6402,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","2Story",5,5,1920,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,2,"PConc",3,3,2,1,0,1,0,596,"GasA",2,0,"SBrkr",596,0,3,1,2,7,0,0,"Detchd",1,1,2,2,0,0,0,137,0,0,0,0,"GdWo","None",0,2009,"WD","Normal",78000,0.62,39678,0.68,1,59,0,1788,1,137
"NAmes","DUPLEX","RL",73,10624,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","Duplex","1Story",5,4,1964,"Gable","CompShg","HdBoard","HdBoard","BrkFace",84,2,"CBlock",3,3,1,6,40,3,264,1424,"GasA",2,1,"SBrkr",0,0,6,2,2,7,0,0,"Detchd",1,1,3,3,2,155,0,0,0,0,0,0,"None","None",0,2007,"WD","Normal",119000,0.75,47499,0.75,0,43,0,3456,2.5,0
"NAmes","1-STORY 1946+","RL",70,8176,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,6,1958,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"CBlock",3,3,1,3,846,1,0,210,"GasA",1,1,"SBrkr",0,0,3,1,2,7,0,0,"Attchd",2,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,2007,"WD","Normal",139000,0.75,47499,0.75,1,15,0,2112,2,0
"NridgHt","1-STORY 1946+","RL",85,10655,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",8,5,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",296,2,"PConc",4,3,1,6,1124,1,479,1603,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",2,3,3,3,2,0,0,0,0,0,0,0,"None","None",0,2009,"WD","Normal",284000,0.75,105583,0.89,1,5,0,4835,3,0
"NridgHt","1-STORY PUD 1946+","RM",59,8198,"Pave","None",2,"Lvl","FR3",2,"Norm","Norm","TwnhsE","1Story",7,5,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",146,2,"PConc",4,3,3,6,720,1,0,638,"GasA",4,1,"SBrkr",0,0,2,1,3,7,1,4,"Attchd",2,2,3,3,2,192,30,0,0,0,0,0,"None","None",0,2008,"WD","Normal",207000,0.75,105583,0.89,0,4,0,2716,3,30
"Gilbert","2-STORY+","RL",59,9042,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",6,5,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,4,6,828,1,0,115,"GasA",3,1,"SBrkr",695,0,3,1,2,7,2,3,"Attchd",3,2,3,3,2,100,38,0,0,0,0,0,"None","None",0,2008,"WD","Normal",192000,0.55,82976,0.75,0,10,0,2581,3.5,38
"Timber","190","RL",85,164660,"Grvl","None",2,"HLS","Corner",0,"Norm","Norm","2fmCon","1.5Fin",5,6,1965,"Gable","CompShg","Plywood","Plywood","None",0,2,"CBlock",3,3,4,5,1249,4,147,103,"GasA",4,1,"SBrkr",167,0,3,1,2,7,2,4,"Attchd",3,2,3,3,2,670,0,0,0,0,0,0,"None","Shed",700,2008,"WD","Normal",228950,0.71,85268,0.85,0,43,0,3285,4,0
"StoneBr","1-STORY 1946+","RL",86,14157,"Pave","None",2,"HLS","Corner",2,"Norm","Norm","1Fam","1Story",9,5,2005,"Hip","CompShg","VinylSd","VinylSd","Stone",200,2,"PConc",5,3,4,6,1249,1,0,673,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",3,3,3,3,2,178,51,0,0,0,0,0,"None","None",0,2007,"WD","Normal",377426,0.75,105583,0.75,1,1,0,3844,3,51
"CollgCr","1-STORY 1946+","RL",70,9135,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",7,5,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",113,2,"PConc",4,3,3,6,810,1,0,726,"GasA",4,1,"SBrkr",0,0,3,1,3,7,0,0,"Attchd",2,2,3,3,2,192,74,0,0,0,0,0,"None","None",0,2008,"WD","Normal",214000,0.91,39359,0.91,1,5,0,3072,3,74
"NWAmes","1-STORY 1946+","RL",91,14145,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",7,7,1984,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"CBlock",4,3,2,5,213,1,0,995,"GasA",4,1,"SBrkr",0,0,3,1,3,7,0,0,"Attchd",2,2,3,3,2,108,45,0,0,0,0,0,"None","Shed",400,2006,"WD","Normal",202500,0.89,87636,0.86,1,8,0,2829,3,45
"NAmes","1-STORY 1946+","RL",66,12400,"Pave","None",2,"Lvl","Inside",2,"Feedr","Norm","1Fam","1Story",6,7,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",176,2,"CBlock",3,2,1,3,585,1,0,630,"GasA",2,1,"FuseA",0,0,3,1,2,7,0,0,"Attchd",1,1,3,3,2,0,0,0,0,234,0,0,"None","None",0,2009,"WD","Normal",155000,0.75,47499,0.75,1,11,0,2430,1,234
"Timber","2-STORY+","RL",85,14191,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",8,5,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,1,1,0,1,0,967,"GasA",4,1,"SBrkr",915,0,4,1,3,7,0,0,"Attchd",3,2,3,3,2,135,0,0,0,0,0,0,"None","None",0,2010,"WD","Normal",202900,0.71,85268,0.85,0,8,0,2875,2.5,0
"SawyerW","1-STORY 1946+","RH",60,8400,"Pave","None",2,"Lvl","Inside",2,"Feedr","Norm","1Fam","1Story",4,4,1950,"Gable","CompShg","Wd Sdng","AsbShng","None",0,1,"CBlock",3,2,1,1,0,1,0,721,"GasA",3,1,"SBrkr",0,0,2,1,2,7,0,0,"CarPort",1,1,3,3,0,250,0,24,0,0,0,0,"None","None",0,2009,"WD","Normal",82000,0.64,68542,0.73,0,59,0,1562,1,24
"NAmes","DUPLEX","RL",73,8544,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","Duplex","1Story",3,4,1949,"Gable","CompShg","Stucco","Stucco","BrkFace",340,2,"Slab",0,0,0,0,0,0,0,0,"Wall",1,0,"FuseA",0,0,2,2,2,7,0,0,"Detchd",1,2,3,3,2,0,0,0,0,0,0,0,"None","None",0,2006,"WD","Normal",87500,0.75,47499,0.75,1,56,0,1040,2,0
"NridgHt","1-STORY PUD 1946+","RL",63,8849,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","TwnhsE","1Story",9,5,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",616,2,"PConc",5,3,1,6,28,1,0,1656,"GasA",4,1,"SBrkr",0,0,2,1,4,7,1,5,"Attchd",2,2,3,3,2,495,72,0,0,0,0,0,"None","None",0,2008,"WD","Normal",266000,0.75,105583,0.89,0,3,0,3368,2,72
"MeadowV","2-STORY PUD 1946+","RM",36,2592,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","TwnhsE","2Story",5,3,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,2,"CBlock",4,3,1,3,129,4,232,175,"GasA",2,1,"SBrkr",576,0,3,1,2,7,0,0,"Attchd",1,1,3,3,2,182,0,0,0,0,0,0,"None","None",0,2010,"WD","Normal",85000,0.82,32965,0.83,0,34,0,1648,1.5,0
"BrkSide","1/2 STORY Fin","RL",65,6435,"Pave","None",2,"Lvl","Inside",2,"RRAn","Norm","1Fam","1.5Fin",6,5,1939,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"BrkTil",3,3,1,1,0,1,0,972,"GasA",3,1,"SBrkr",605,0,3,1,1,7,1,4,"Detchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,2006,"WD","Normal",140200,0.74,46530,0.72,1,56,0,2549,1,0
"NAmes","1-STORY 1946+","RL",73,12772,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","1Story",6,8,1960,"Hip","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",3,3,2,4,498,1,0,460,"GasA",2,1,"SBrkr",0,0,2,1,2,7,0,0,"Attchd",2,1,3,3,2,0,0,0,0,0,0,0,"None","Gar2",15500,2007,"WD","Normal",151500,0.75,47499,0.75,1,9,0,1916,1,0
"NAmes","1-STORY 1946+","RL",73,17600,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",6,5,1960,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",30,2,"CBlock",3,3,1,4,1270,1,0,208,"GasA",4,1,"FuseA",0,0,3,1,2,7,2,4,"Attchd",1,2,3,3,2,0,40,0,0,0,0,0,"None","None",0,2009,"WD","Normal",157500,0.75,47499,0.75,0,49,0,2956,3,40
"NridgHt","2-STORY PUD 1946+","RL",36,2448,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","Twnhs","2Story",7,5,2003,"Gable","CompShg","VinylSd","Wd Shng","Stone",106,2,"PConc",4,3,1,6,573,1,0,191,"GasA",4,1,"SBrkr",862,0,2,1,3,7,0,0,"BuiltIn",2,2,3,3,2,0,27,0,0,0,0,0,"None","None",0,2008,"WD","Normal",154000,0.75,105583,0.89,1,4,0,2390,3.5,27
"NridgHt","2-STORY+","RL",56,20431,"Pave","None",1,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",9,5,2005,"Hip","CompShg","CemntBd","CmentBd","BrkFace",870,2,"PConc",5,3,1,6,1410,1,0,438,"GasA",4,1,"SBrkr",880,0,4,1,4,7,2,5,"Attchd",3,3,3,3,2,0,0,0,0,0,0,0,"None","None",0,2006,"New","Partial",437154,0.75,105583,0.89,1,0,0,4576,3.5,0
"NridgHt","1-STORY PUD 1946+","RL",68,7820,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","TwnhsE","1Story",9,5,2007,"Hip","CompShg","MetalSd","MetalSd","BrkFace",362,2,"PConc",5,3,1,1,0,1,0,1869,"GasA",4,1,"SBrkr",0,0,2,1,4,7,1,4,"Attchd",2,2,3,3,2,210,54,0,0,0,0,0,"None","None",0,2007,"New","Partial",318061,0.75,105583,0.89,0,0,1,3738,2,54
"ClearCr","1-STORY PUD 1946+","RL",80,5271,"Pave","None",2,"Low","Inside",1,"Norm","Norm","1Fam","1Story",7,5,1986,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"PConc",4,3,4,6,1082,1,0,371,"GasA",3,1,"SBrkr",0,0,2,1,3,7,1,3,"Attchd",2,2,3,3,2,0,80,0,0,184,0,0,"None","None",0,2006,"WD","Abnorml",190000,0.89,86452,0.82,0,20,0,2906,2.5,264
"Edwards","1/2 STORY Fin","RL",60,9084,"Pave","None",2,"Lvl","Inside",2,"Artery","Norm","1Fam","1.5Fin",5,6,1941,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"CBlock",3,2,2,2,236,3,380,0,"GasA",2,0,"SBrkr",495,0,3,1,2,7,0,0,"Detchd",1,1,3,2,2,48,0,0,0,0,0,0,"None","None",0,2008,"ConLw","Normal",95000,0.61,46530,0.63,1,58,0,1727,1.5,0
"OldTown","1-STORY 1945-","RM",60,8520,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",6,8,1928,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"BrkTil",3,3,1,1,0,1,0,624,"GasA",3,1,"SBrkr",0,0,2,1,2,7,0,0,"Detchd",1,2,3,3,2,106,0,0,0,0,0,0,"None","None",0,2010,"WD","Normal",105900,0.84,41223,0.85,1,7,0,1344,1,0
"SWISU","1/2 STORY Fin","RL",60,8400,"Pave","None",2,"Bnk","Inside",2,"Norm","Norm","1Fam","1.5Fin",6,5,1940,"Gable","CompShg","Wd Sdng","MetalSd","None",0,2,"CBlock",3,3,1,2,388,1,0,552,"GasA",4,1,"SBrkr",403,0,2,1,2,7,2,4,"Attchd",1,1,3,3,2,0,0,108,0,0,0,0,"None","None",0,2006,"WD","Normal",140000,1,51183,0.83,1,6,0,2535,1,108
